,State,State Code,Region,Division
0,Alaska,US-AK,West,Pacific
1,Alabama,US-AL,South,East South Central
2,Arkansas,US-AR,South,West South Central
3,Arizona,US-AZ,West,Mountain
4,California,US-CA,West,Pacific
5,Colorado,US-CO,West,Mountain
6,Connecticut,US-CT,Northeast,New England
7,District of Columbia,US-DC,South,South Atlantic
8,Delaware,US-DE,South,South Atlantic
9,Florida,US-FL,South,South Atlantic
10,Georgia,US-GA,South,South Atlantic
11,Hawaii,US-HI,West,Pacific
12,Iowa,US-IA,Midwest,West North Central
13,Idaho,US-ID,West,Mountain
14,Illinois,US-IL,Midwest,East North Central
15,Indiana,US-IN,Midwest,East North Central
16,Kansas,US-KS,Midwest,West North Central
17,Kentucky,US-KY,South,East South Central
18,Louisiana,US-LA,South,West South Central
19,Massachusetts,US-MA,Northeast,New England
20,Maryland,US-MD,South,South Atlantic
21,Maine,US-ME,Northeast,New England
22,Michigan,US-MI,Midwest,East North Central
23,Minnesota,US-MN,Midwest,West North Central
24,Missouri,US-MO,Midwest,West North Central
25,Mississippi,US-MS,South,East South Central
26,Montana,US-MT,West,Mountain
27,North Carolina,US-NC,South,South Atlantic
28,North Dakota,US-ND,Midwest,West North Central
29,Nebraska,US-NE,Midwest,West North Central
30,New Hampshire,US-NH,Northeast,New England
31,New Jersey,US-NJ,Northeast,Middle Atlantic
32,New Mexico,US-NM,West,Mountain
33,Nevada,US-NV,West,Mountain
34,New York,US-NY,Northeast,Middle Atlantic
35,Ohio,US-OH,Midwest,East North Central
36,Oklahoma,US-OK,South,West South Central
37,Oregon,US-OR,West,Pacific
38,Pennsylvania,US-PA,Northeast,Middle Atlantic
39,Rhode Island,US-RI,Northeast,New England
40,South Carolina,US-SC,South,South Atlantic
41,South Dakota,US-SD,Midwest,West North Central
42,Tennessee,US-TN,South,East South Central
43,Texas,US-TX,South,West South Central
44,Utah,US-UT,West,Mountain
45,Virginia,US-VA,South,South Atlantic
46,Vermont,US-VT,Northeast,New England
47,Washington,US-WA,West,Pacific
48,Wisconsin,US-WI,Midwest,East North Central
49,West Virginia,US-WV,South,South Atlantic
50,Wyoming,US-WY,West,Mountain
